name,title,quote,date,context
Ralph Abercromby,Scottish soldier and politician,Only a soldier's blanket! Make haste and return it to him at once.,28 March 1801,"Wounded at the Battle of Alexandria, he asked what had been placed under his head and was told it was ""Only a soldier's blanket."""
Benedict Arnold,American military officer and traitor,Let me die in the old uniform in which I fought my battles for freedom. May God forgive me for putting on any other.,14 June 1801,referring to his Continental Army uniform
Erasmus Darwin,English physician and natural philosopher,"Emma, will you? There is no time to be lost.",18 April 1802,urging his daughter to bleed him
George Fordyce,Scottish physician,"Stop, go out of the room; I am about to die.",25 May 1802,"to his daughter, who had been reading to him"
Daniel Morgan,"American pioneer, soldier and politician","Doctor, if I could be the man I was when I was 21 years of age, I would be willing to be stripped stark naked on the top of the Alleghany Mountains to run for my life with the hounds of hell at my heels.",6 July 1802,when his physician advised him to settle his affairs
"(""Ah! c'était le bon temps! J'étais si malheureuse."") — Sophie Arnould",French operatic soprano,Ah! The times were good! It was I who was so unhappy.,18 October 1802,when a priest asked how much she had suffered
Jean-François de La Harpe,"French playwright, writer and literary critic",I am grateful to Divine Mercy for having left me sufficient recollection to feel how consoling these prayers are to the dying.,11 February 1803,"; his final recorded words, spoken the day before his death"
Robert Emmet,"Irish Republican and Irish nationalist patriot, orator and rebel leader",Not yet. Not yet. Not—,20 September 1803,"during execution by hanging for treason. The executioner carried out the hanging in the middle of Emmet's attempt to say ""Not yet"" for the third time"
"(""Stringetemi la mano","mia cara, mi sento morire."") — Vittorio Alfieri, Italian dramatist and poet","Clasp my hand, my dear friend, I die!",8 October 1803,to Princess Louise of Stolberg-Gedern
Johann Gottfried Herder,"German philosopher, theologian, poet and literary critic",Refresh me with a great thought.,18 December 1803,
Samuel Hopkins,American Congregationalist theologian and abolitionist,"My anchor is well cast, and my ship, though weather-beaten, will outride the storm.",20 December 1803,
Joseph Priestley,"English chemist, natural philosopher and theologian",That is right; I have now done.,6 February 1804,while dictating revisions to his works
Immanuel Kant,German philosopher,I have not yet lost my feeling for humanity.,12 February 1804,thanking his physicians and attendants
Louis Antoine,Duke of Enghien,I die for my king and for France.,21 March 1804,prior to execution by firing squad
"Alexander's other final words were ""If they break this Union","They will break my heart"" (as per Ron Chernow's biography on Alexander Hamilton) "" — Alexander Hamilton, American statesman","Remember, my Eliza, you are a Christian.",12 July 1804,addressing his wife after being mortally shot by his rival Aaron Burr in a duel
William Woodville,English physician and botanist,"I shall not live more than two days, therefore make haste.",26 March 1805,to a carpenter he had summoned to measure him for his coffin; final recorded words
Friedrich Schiller,"German writer, philosopher and physician",Many things are growing clearer and clearer to me.,9 May 1805,
Arthur Murphy,Irish writer,"Taught, half by reason, half by mere decay, / To welcome death, and calmly pass away.",18 June 1805,quoting Alexander Pope
Horatio Nelson,"1st Viscount Nelson, Royal Navy admiral","Thank God, I have done my duty.",21 October 1805,mortally wounded at the Battle of Trafalgar
William Pitt the Younger,Prime Minister of the United Kingdom,I think I could eat one of Bellamy's veal pies.,23 January 1806,
Edward Thurlow,"1st Baron Thurlow, British lawyer and politician",I'll be shot if I don't believe I'm dying.,12 September 1806,
Charles James Fox,British statesman,I die happy.,13 September 1806,
Joseph Brant,Mohawk military and political leader,"Have pity on the poor Indians; if you can get any influence with the great, endeavor to do them all the good you can.",24 November 1807,to his adopted nephew John Norton
John Newton,"English Anglican cleric and abolitionist, author of ""Amazing Grace""",I am satisfied with the Lord's will.,21 December 1807,; final recorded words
"(""Je suis toute à vous."") — Adrienne de La Fayette (24 December 1807)",,I am all yours.,24 December 1807,French marchioness who married Marquis de Lafayette
Fisher Ames,member of the U.S. House of Representatives,"I have peace of mind. It may arise from stupidity, but I think it is founded on a belief of the Gospel. My hope is in the mercy of God through Jesus Christ.",4 July 1808,
Theophilus Lindsey,English Unitarian theologian and clergyman,"No, whatever is, is best.",3 November 1808,"to a friend who suggested that Lindsey was strengthened by the saying, ""Whatever is, is right"""
John Moore,British Army general,It is a great satisfaction to me to know we have beaten the French. I hope the people of England will be satisfied. I hope my country will do me justice.,16 January 1809,"mortally wounded at the Battle of Corunna. Moore then spoke of his mother and some other people, including Lady Hester Stanhope, before dying"
Beilby Porteus,Bishop of London and abolitionist,"O, that glorious sun!",13 May 1809,
Joseph Haydn,Austrian composer,God preserve the emperor.,31 May 1809,"playing his own ""Emperor's Hymn"""
Thomas Paine,"English-born American political activist and theorist, philosopher and revolutionary",Taking a leap into the dark. O mystery!,8 June 1809,
